姓名 年龄 成绩1 成绩2 成绩3 平均分 名次
David 19 89 95 97 94 1
Eddie 19 91 94 95 93 2
Jack 19 87 97 84 89 3
Bob 19 88 92 86 89 4
Inova 18 87 83 91 87 5
Cristin 18 81 79 98 86 6
Hellion 19 76 85 93 85 7
Franc 18 77 89 83 83 8
Alice 18 78 99 67 81 9
George 19 71 76 85 77 10
姓名 年龄 成绩1 成绩2 成绩3 平均分 名次
David 19 89 95 97 94 1
Eddie 19 91 94 95 93 2
Jack 19 87 97 84 89 3
Bob 19 88 92 86 89 4
Inova 18 87 83 91 87 5
Cristin 18 81 79 98 86 6
Hellion 19 76 85 93 85 7
Franc 18 77 89 83 83 8
Alice 18 78 99 67 81 9
George 19 71 76 85 77 10
